index,category,uid,glb_mb,usd_mb,seconds,meshes,triangles,ok,error
1,advertising_board,0a4cd8e975884115bfb62b5fc0d72f09,4.01,4.016,0.155,1,130,True,
2,bicycle,29b644ad4b6d4d4a92bb5f61766f669c,22.823,40.354,0.314,1,470397,True,
3,building,0ddfb394990b451ca4a3898136b3f081,20.614,20.734,0.169,1,4504,True,
4,bus_shelter,2e70b93124bf4d0fa6dde30bce7eae91,2.756,3.102,0.132,1,9362,True,
5,car,72f36689982a4066b4382a7c2b5ecaa4,27.325,38.706,0.309,1,149744,True,
6,trash_bin,0a97a6e5c2894bfba2d347d333756b0e,6.236,6.898,0.142,1,17860,True,
7,vegetation,063592d61b744c1d9c328d5ab12ddfea,0.072,0.08,0.125,1,200,True,
8,advertising_board,30c189316d6e40869858aa663166900c,0.41,0.42,0.125,1,168,True,
9,bicycle,2ab5366e15004347a4ca556c52ea5fb0,17.131,23.998,0.179,1,219515,True,
10,building,0e69cb333eca4b278bf585a9cd1bf798,21.984,29.692,0.343,1,294974,True,
11,bus_shelter,367bdb5ca8c745978410c6e3ffd9b910,6.805,7.138,0.138,1,8250,True,
12,car,d6d60d1107574e619885b0651a3097cc,18.839,44.45,0.329,1,612611,True,
13,trash_bin,0c05c890dc3c4fd7a741389f10f0191e,2.635,2.647,0.131,1,180,True,
14,vegetation,2e2fb34eb51a400c8dac8fdc55b5e6bc,112.126,270.965,1.723,1,2561229,True,
15,advertising_board,3fe738210e2a4562b7e3981ccec206e0,2.254,2.266,0.144,1,232,True,
16,bicycle,2fb82988dfd0495aa3b4b62cb377bbfb,26.511,54.788,0.502,1,731179,True,
17,building,0f461ea81f8541db8d6a5f5e35133588,1.235,1.258,0.128,1,695,True,
18,bus_shelter,ccf5a5e803d041c4b8dde747cbfea088,2.942,3.058,0.142,1,3356,True,
19,car,eea2763894544966b76463b0923266c0,3.183,3.835,0.139,1,16854,True,
20,trash_bin,0debf0ba50304951b32b44c7578468dd,3.295,4.11,0.142,1,18908,True,
21,vegetation,4c221681ee9c48c897bc48a209cd060c,1.093,1.361,0.13,1,9184,True,
22,advertising_board,69b45f0048984a1d8073be4c76512c3b,0.425,0.545,0.14,1,2908,True,
23,bicycle,6f0e8b216aa24776a8ea7a859afa980c,1.837,1.893,0.122,1,1682,True,
24,building,1c7852fb8e5e4765992dd0ce724da3b5,2.731,2.771,0.13,1,1124,True,
25,bus_shelter,e79f70d2e8494f55a1982bb75ab507e4,6.062,6.084,0.147,1,778,True,
26,car,fb6d1d75fdda4e52b2bcd5201f945302,17.654,21.696,0.201,1,282125,True,
27,trash_bin,0f1b5d0f8f1d49548580d0722552c0d1,3.913,5.614,0.146,1,36432,True,
28,vegetation,4cd243eb74c74b3ea2190ebcec0439fb,1.903,1.93,0.129,1,778,True,
29,advertising_board,dc09459f51a74c1a942a1c8954fa3376,0.903,0.933,0.132,1,744,True,
30,bicycle,9b33a764a7d8490aa36245e0309adbdb,13.407,21.274,0.188,1,171610,True,
31,building,3e51037958b64727a4679ac806e56d86,2.954,2.977,0.13,1,738,True,
32,trash_bin,1aba5376ea5c43ec84d01b9c0f713ee3,3.012,3.061,0.136,1,1136,True,
33,trash_bin,1d5c4063c22a4d00aac4ee3613382322,0.916,0.939,0.131,1,466,True,
